അകലെ	അകലം എ
അക്ഷമയോടെ	അക്ഷമ ഓടെ
അമ്മ	അമ്മ -
അമ്മമാരാല്‍	അമ്മമാർ ആൽ
അമ്മമാരിലൂടെ	അമ്മമാരിൽ ഊടെ
അമ്മമാരില്‍	അമ്മമാർ ഇൽ
അമ്മമാരുടെ	അമ്മമാർ ഉടെ
അമ്മമാരെ	അമ്മമാർ എ
അമ്മമാരെയല്ല	അമ്മമാരെ അല്ല
അമ്മമാരോട്	അമ്മമാർ ഓട്
അമ്മമാരോളം	അമ്മമാർ ഓളം
അമ്മമാര്‍	അമ്മ മാർ
അമ്മമാര്‍ക്കായി	അമ്മമാർക്ക് ആയി
അമ്മമാര്‍ക്ക്	അമ്മമാർ ക്ക്
അമ്മയല്ലാത്തത്	അമ്മയല്ലാത്ത അത്
അമ്മയായത്	അമ്മയായ അത്
അമ്മയായി	അമ്മ ആയി
അമ്മയാല്‍	അമ്മ ആൽ
അമ്മയിലുള്ള	അമ്മയിൽ ഉള്ള
അമ്മയിലൂടെ	അമ്മയിൽ ഊടെ
അമ്മയിലൂടെയുള്ള	അമ്മയിലൂടെ ഉള്ള
അമ്മയിലേക്കുള്ള	അമ്മയിലേക്ക് ഉള്ള
അമ്മയിലേക്ക്	അമ്മയിൽ ഏക്ക്
അമ്മയിലോട്ടുള്ള	അമ്മയിലോട്ട് ഉള്ള
അമ്മയിലോട്ട്	അമ്മയിൽ ഓട്ട്
അമ്മയില്‍	അമ്മ ഇൽ
അമ്മയെങ്കില്‍	അമ്മ എങ്കിൽ
അമ്മയെയല്ല	അമ്മയെ അല്ല
അമ്മയെയല്ലയെന്ന	അമ്മയെയല്ല എന്ന
അമ്മയെയല്ലയെന്ന്	അമ്മയെയല്ല എന്ന്
അമ്മയെയല്ലാതെ	അമ്മയെയല്ല ആതെ
അമ്മയെയല്ലാത്ത	അമ്മയെയല്ല ആത്ത
അമ്മയെയല്ലെങ്കിലാണ്	അമ്മയെയല്ലെങ്കിൽ ആണ്
അമ്മയെയല്ലെങ്കിലെന്ന്	അമ്മയെയല്ലെങ്കിൽ എന്ന്
അമ്മയെയല്ലെങ്കില്‍	അമ്മയെയല്ല എങ്കിൽ
അമ്മയെയല്ലെന്ന	അമ്മയെയല്ല എന്ന
അമ്മയെയല്ലെന്നാണ്	അമ്മയെയല്ലെന്ന് ആണ്
അമ്മയെയല്ലെന്ന്	അമ്മയെയല്ല എന്ന്
അമ്മയോടുള്ള	അമ്മയോട് ഉള്ള
അമ്മയോടുള്ളത്	അമ്മയോടുള്ള അത്
അമ്മയോടൊപ്പം	അമ്മയോട് ഒപ്പം
അമ്മയോടൊപ്പമുള്ള	അമ്മയോടൊപ്പം ഉള്ള
അമ്മയോട്	അമ്മ ഓട്
അമ്മയോളം	അമ്മ ഓളം
